IS4103,IS4103 IS Capstone Project (Chair: A/Prof. TAN Wee Kek),3,FALSE
IS4250,IS4250 IT Enabled Healthcare Solutioning (Chair: A/Prof. Lim Shi Ying),3,FALSE
FYP-MComp,FYP-MComp Final Year Project/MComp Thesis (Chair: Dr. Cristina Carbunaru),2,TRUE
CS3203,CS3203 Software Engineering Project (Chair: Dr. Ganesh Neelakanta Iyer),1,FALSE
CS3216,CS3216 Software Product Engineering for Digital Markets (Chair: A/Prof. Soo Yuen Jien),1,FALSE
CS4350,CS4350 Game Development Project (Chair: Dr. Bhojan Anand),2,FALSE
CS101A,CS1010A Programming Methodology (Chair: A/Prof. Ben Leong Wing Lup),20,FALSE
